Id_vuelo,Aircompany,Origen,Destino,Distancia,avion,consumo_kg,duracion
Air_PaGi_10737,Airnar,París,Ginebra,411,Boeing 737,,51
Fly_BaRo_10737,FlyQ,Bali,Roma,12738,Boeing 737,33479.13254400001,1167
Tab_GiLo_11380,TabarAir,Ginebra,Los Angeles,9103,Airbus A380,,626
Mol_PaCi_10737,MoldaviAir,París,Cincinnati,6370,Boeing 737,17027.01,503
Tab_CiRo_10747,TabarAir,Cincinnati,Roma,7480,Boeing 747,86115.744,518
Mol_CaMe_10737,MoldaviAir,Cádiz,Melbourne,20029,Boeing 737,53148.15324000001,
Mol_PaLo_11320,MoldaviAir,París,Londres,344,Airbus A320,915.2464,44
Pam_PaMe_11380,PamPangea,París,Melbourne,16925,Airbus A380,217722.6584,1328
Pam_NuBa_10737,PamPangea,Nueva York,Bali,16589,Boeing 737,45277.61846400001,1459
Air_GiCa_11380,Airnar,Ginebra,Cádiz,,Airbus A380,,135
Tab_LoCi_10737,TabarAir,Los Angeles,Cincinnati,,Boeing 737,"7915,433400000001",
Mol_LoBa_11380,MoldaviAir,Londres,Bali,,Airbus A380,156721.6944,856
Tab_CiLo_10747,TabarAir,Cincinnati,Los Angeles,3073,Boeing 747,32758.18,224
Tab_GiLo_11380,TabarAir,Ginebra,Londres,739,Airbus A380,8542.84,69
Tab_CiRo_11320,TabarAir,Cincinnati,Roma,7480,Airbus A320,21087.85536,662
Tab_RoLo_10747,TabarAir,Roma,Los Angeles,10077,Boeing 747,,691
Mol_MeCa_10737,MoldaviAir,Melbourne,Cádiz,20029,Boeing 737,51629.634576,1721
Air_GiLo_10747,Airnar,Ginebra,Los Angeles,9103,Boeing 747,104801.0184,626
Pam_MePa_10737,PamPangea,Melbourne,París,16925,Boeing 737,46622.41740000001,1485
Pam_GiNu_11320,PamPangea,Ginebra,Nueva York,6206,Airbus A320,16200.1424,569
Mol_CaBa_10747,MoldaviAir,Cádiz,Bali,12798,Boeing 747,156072.12192,1053
Air_BaGi_11380,Airnar,Bali,Ginebra,,Airbus A380,146010.4296,845
Mol_LoBa_10737,MoldaviAir,Londres,Bali,12553,Boeing 737,33310.13868,1153
Air_BaCa_10737,Airnar,Bali,Cádiz,12798,Boeing 737,,1171
Tab_LoRo_10747,TabarAir,Londres,Roma,1433,Boeing 747,16803.358,115
Tab_CiLo_10747,TabarAir,Cincinnati,Los Angeles,3073,Boeing 747,"33740,9254",224
Pam_MeBa_10737,PamPangea,Melbourne,Bali,,Boeing 737,7158.148200000001,
Air_BaCi_10737,Airnar,Bali,Cincinnati,15011,Boeing 737,,1340
Mol_LoPa_10747,MoldaviAir,Londres,París,344,Boeing 747,"3813,7216",42
Tab_GiRo_11320,TabarAir,Ginebra,Roma,698,Airbus A320,1751.98,70
Mol_CaBa_10737,MoldaviAir,Cádiz,Bali,12798,Boeing 737,33960.26088000001,1171
Air_BaGi_11380,Airnar,Bali,Ginebra,12383,Airbus A380,144578.9548,845
Tab_CiRo_11320,TabarAir,Cincinnati,Roma,7480,Airbus A320,20892.59744,662
Fly_RoNu_11320,FlyQ,Roma,Nueva York,6877,Airbus A320,18131.238008,618
Mol_MeLo_10747,MoldaviAir,Melbourne,Londres,16900,Boeing 747,192980.9648,1326
Tab_LoLo_11320,TabarAir,Los Angeles,Londres,8785,Airbus A320,24078.9822,756
Fly_GiCi_10737,FlyQ,Ginebra,Cincinnati,6969,Boeing 737,,
Mol_BaMe_11320,MoldaviAir,Bali,Melbourne,2779,Airbus A320,7114.795799999999,
Air_GiLo_10747,Airnar,Ginebra,Los Angeles,9103,Boeing 747,106741.778,626
Pam_MeGi_11380,PamPangea,Melbourne,Ginebra,16674,Airbus A380,,
Fly_GiRo_10737,FlyQ,Ginebra,Roma,698,Boeing 737,1763.9856,73
Fly_BaGi_10737,FlyQ,Bali,Ginebra,12383,Boeing 737,31607.26077600001,
Mol_LoPa_11320,MoldaviAir,Londres,París,,Airbus A320,915.2464,44
Fly_BaGi_11320,FlyQ,Barcelona,Ginebra,,Airbus A320,"1822,26",
Tab_LoRo_11320,TabarAir,Los Angeles,Roma,10077,Airbus A320,27357.200832,
Air_CiPa_10747,Airnar,Cincinnati,París,,Boeing 747,,444
Pam_NuMe_10747,PamPangea,Nueva York,Melbourne,16082,Boeing 747,183640.229344,1272
Pam_NuPa_11380,PamPangea,Nueva York,París,5835,Airbus A380,72174.282,409
Fly_NuBa_11380,FlyQ,Nueva York,Bali,16589,Airbus A380,"199439,5936",1305
Mol_CaBa_10737,MoldaviAir,Cádiz,Bali,12798,Boeing 737,34607.12299200001,
Mol_CaBa_10747,MoldaviAir,Cádiz,Bali,,Boeing 747,153234.446976,1053
Mol_CiPa_11380,MoldaviAir,Cincinnati,París,6370,Airbus A380,78055.432,444
Air_GiLo_11320,Airnar,Ginebra,Los Angeles,9103,Airbus A320,24475.345336,779
Pam_PaGi_11380,PamPangea,París,Ginebra,411,Airbus A380,5083.7412,47
Tab_LoNu_11380,TabarAir,Londres,Nueva York,5566,Airbus A380,70133.8264,391
Fly_BaRo_10747,FlyQ,Barcelona,Roma,,Boeing 747,9797.9258,
Air_GiCi_11320,Airnar,Ginebra,Cincinnati,6969,Airbus A320,"18191,8776",624
Pam_NuBa_10747,PamPangea,Nueva York,Bali,16589,Boeing 747,"191268,781184",1305
Tab_RoNu_10737,TabarAir,Roma,Nueva York,6877,Boeing 737,18382.221,542
Tab_RoCi_11380,TabarAir,Roma,Cincinnati,7480,Airbus A380,89062.864,518
Air_BaCi_11380,Airnar,Bali,Cincinnati,15011,Airbus A380,189491.65872,1200
Tab_CiLo_10747,TabarAir,Cincinnati,Los Angeles,3073,Boeing 747,35378.8344,224
Pam_NuMe_10747,PamPangea,Nueva York,Melbourne,16082,Boeing 747,"180074,399648",1272
Tab_LoGi_11320,TabarAir,Londres,Ginebra,739,Airbus A320,1854.89,73
Tab_GiNu_11380,TabarAir,Ginebra,Nueva York,6206,Airbus A380,75328.428,433
Mol_LoCi_10747,MoldaviAir,Londres,Cincinnati,6284,Boeing 747,70336.812,438
Air_CiCa_10747,Airnar,Cincinnati,Cádiz,6624,Boeing 747,,
Mol_CiCa_11320,MoldaviAir,Cincinnati,Cádiz,6624,Airbus A320,18155.85408,600
Air_BaGi_10747,Airnar,Bali,GInEBrA,,Boeing 747,138602.919,845
Air_CaLo_11320,Airnar,Cádiz,Los Angeles,9373,Airbus A320,25445.970368,799
Fly_RoCi_11380,FlyQ,Roma,Cincinnati,7480,Airbus A380,90792.24,
Tab_RoCi_11380,TabarAir,Roma,Cincinnati,7480,Airbus A380,88198.176,
Air_BaCi_11380,Airnar,Bali,Cincinnati,15011,Airbus A380,191296.341184,1200
Fly_CiGi_11320,FlyQ,Cincinnati,Ginebra,,Airbus A320,18555.715152,624
Air_LoBa_10747,Airnar,Los Angeles,Bali,12845,Boeing 747,148101.00032,1056
Mol_MeCi_11380,MoldaviAir,Melbourne,Cincinnati,15262,Airbus A380,183485.8688,1217
Air_CiPa_11380,Airnar,Cincinnati,París,6370,Airbus A380,81000.92,444
Mol_PaLo_10747,MoldaviAir,París,Londres,344,Boeing 747,3850.392,
Fly_BaRo_10747,FlyQ,Bali,Roma,12738,Boeing 747,149691.676992,1049
Tab_LoGi_11380,TabarAir,Londres,Ginebra,739,Airbus A380,9140.8388,
Air_BaLo_11380,Airnar,Bali,Los Angeles,12845,Airbus A380,163337.02,876
Mol_BaPa_11380,MoldaviAir,Bali,París,11980,Airbus A380,149567.904,818
Mol_BaCi_10747,MoldaviAir,Bali,Cincinnati,15011,Boeing 747,,1200
Tab_RoNu_11320,TabarAir,Roma,Nueva York,6877,Airbus A320,18131.238008,618
Tab_GiRo_11380,TabarAir,Ginebra,Roma,698,Airbus A380,8068.88,66
Fly_BaBa_11380,FlyQ,Barcelona,Bali,,Airbus A380,169547.579136,1070
Fly_GiRo_10747,FlyQ,Ginebra,Roma,,Boeing 747,8110.341200000001,
Tab_LoGi_11380,TabarAir,Los Angeles,Ginebra,9103,Airbus A380,112596.8276,626
Tab_CiLo_11320,TabarAir,Cincinnati,Los Angeles,3073,Airbus A320,8098.8915,242
Air_CiLo_10747,Airnar,Cincinnati,Los Angeles,3073,Boeing 747,"34068,5072",224
Air_PaCa_10747,Airnar,París,Cádiz,1447,Boeing 747,"16504,7714",116
Pam_GiLo_11320,PamPangea,Ginebra,Londres,739,Airbus A320,2003.2812,
Tab_CiRo_11380,TabarAir,Cincinnati,Roma,7480,Airbus A380,87333.488,518
Fly_BaGi_11320,FlyQ,Barcelona,Ginebra,,Airbus A320,1805.694,67
Tab_LoGi_11320,TabarAir,Los Angeles,Ginebra,9103,Airbus A320,26138.71832,779
Mol_BaLo_10747,MoldaviAir,Bali,Londres,12553,Boeing 747,137829.4294,856
Air_BaCa_10747,Airnar,Bali,Cádiz,12798,Boeing 747,141883.7472,1053
Air_PaCa_11320,Airnar,París,Cádiz,1447,Airbus A320,3922.5276,124
Tab_LoGi_11380,TabarAir,Los Angeles,Ginebra,9103,Airbus A380,108387.6004,626
Air_BaCi_10737,Airnar,Bali,Cincinnati,,Boeing 737,37935.7992,1340
Tab_LoRo_11380,TabarAir,Londres,Roma,1433,Airbus A380,16731.1348,115
Fly_GiBa_10747,FlyQ,Ginebra,BARcelOnA,660,Boeing 747,,64
Fly_CiRo_10747,FlyQ,Cincinnati,Roma,7480,Boeing 747,87710.48000000001,518
Fly_NuCi_11320,FlyQ,Nueva York,Cincinnati,911,Airbus A320,2286.61,86
Mol_MeCi_10737,MoldaviAir,Melbourne,Cincinnati,15262,Boeing 737,41270.03524800001,1359
Mol_CaLo_11380,MoldaviAir,Cádiz,Londres,1716,Airbus A380,20432.0688,134
Pam_BaGi_10737,PamPangea,Bali,Ginebra,12383,Boeing 737,32859.03348000001,1140
Air_LoCa_10747,Airnar,Los Angeles,Cádiz,9373,Boeing 747,102913.6654,644
Mol_BaMe_11380,MoldaviAir,Bali,Melbourne,2779,Airbus A380,33731.502,
Fly_BaRo_10737,FlyQ,Bali,Roma,12738,Boeing 737,33157.21780800001,1167
Pam_NuLo_11380,PamPangea,Nueva York,Londres,,Airbus A380,68203.53760000001,391
Mol_MePa_10747,MoldaviAir,Melbourne,París,16925,Boeing 747,198895.5592,1328
Air_GiCi_10747,Airnar,Ginebra,Cincinnati,6969,Boeing 747,76518.2262,
Air_GiLo_10737,Airnar,Ginebra,Los Angeles,,Boeing 737,"22562,6958",
Tab_LoCi_10747,TabarAir,Los Angeles,Cincinnati,3073,Boeing 747,"36033,998",224
Pam_BaPa_10747,PamPangea,Bali,París,11980,Boeing 747,132815.072,818
Pam_NuLo_10737,PamPangea,Nueva York,Londres,5566,Boeing 737,13660.6338,
Mol_CiBa_10737,MoldaviAir,Cincinnati,Bali,15011,Boeing 737,40591.30514400001,1340
Pam_BaMe_11320,PamPangea,Bali,MelBOUrnE,2779,Airbus A320,7533.3132,221
Pam_LoGi_10737,PamPangea,Londres,Ginebra,739,Boeing 737,1849.6431,76
Tab_NuCi_11380,TabarAir,Nueva York,Cincinnati,911,Airbus A380,10636.4716,80
Tab_LoLo_11380,TabarAir,Los Angeles,Londres,8785,Airbus A380,108663.422,605
Pam_NuBa_10747,PamPangea,Nueva York,Bali,16589,Boeing 747,185751.412496,1305
Mol_CaPa_11380,MoldaviAir,Cádiz,París,1447,Airbus A380,18400.052,116
Fly_GiBa_10747,FlyQ,Ginebra,Bali,12383,Boeing 747,137282.8912,845
Air_CaLo_11380,Airnar,Cádiz,Los Angeles,9373,Airbus A380,111602.4364,644
Fly_BaGi_11320,FlyQ,Barcelona,GinEbra,660,Airbus A320,1689.732,67
Mol_LoBa_10747,MoldaviAir,Londres,Bali,12553,Boeing 747,133814.98,856
Tab_RoGi_10747,TabarAir,Roma,Ginebra,,Boeing 747,8035.934400000001,66
Pam_BaNu_10737,PamPangea,Bali,Nueva York,16589,Boeing 737,"43181,43242400001",
Mol_PaBa_10747,MoldaviAir,París,Bali,11980,Boeing 747,134092.14,
Air_CiPa_10737,Airnar,Cincinnati,París,,Boeing 737,,503
Air_LoBa_10747,Airnar,Los Angeles,Bali,,Boeing 747,"149525,0484",1056
Pam_NuPa_10737,PamPangea,Nueva York,París,5835,Boeing 737,14179.05,463
Tab_RoLo_11320,TabarAir,Roma,Los Angeles,10077,Airbus A320,27357.200832,
Mol_MeBa_10747,MoldaviAir,Melbourne,Bali,2779,Boeing 747,31697.8298,205
Fly_CiNu_10747,FlyQ,Cincinnati,Nueva York,911,Boeing 747,10585.2734,80
Tab_RoLo_11380,TabarAir,Roma,Los Angeles,10077,Airbus A380,"119984,8236",691
Fly_CiGi_11320,FlyQ,Cincinnati,GInebRA,6969,Airbus A320,19283.390256,
Mol_MeCa_10737,MoldaviAir,Melbourne,Cádiz,,Boeing 737,,1721
Air_PaGi_11380,Airnar,París,GINEbRA,411,Airbus A380,,47
Pam_PaBa_11380,PamPangea,París,Bali,11980,Airbus A380,148183.016,
Pam_NuBa_11380,PamPangea,Nueva York,Bali,16589,Airbus A380,205422.781408,1305
Fly_GiBa_10747,FlyQ,Ginebra,Bali,12383,Boeing 747,"141242,9746",845
Air_LoBa_11380,Airnar,Los Angeles,Bali,12845,Airbus A380,,876
Pam_MePa_10737,PamPangea,Melbourne,París,16925,Boeing 737,44911.503,
Tab_CiLo_11320,TabarAir,Cincinnati,Los Angeles,3073,Airbus A320,8253.1561,242
Pam_NuGi_10737,PamPangea,Nueva York,Ginebra,6206,Boeing 737,15231.3858,491
Mol_CaPa_11320,MoldaviAir,Cádiz,París,,Airbus A320,3995.167,124
Air_CiPa_10747,Airnar,Cincinnati,París,6370,Boeing 747,74694.62000000001,444
Pam_LoPa_10747,PamPangea,Londres,París,344,Boeing 747,3740.3808,42
Tab_CiGi_11380,TabarAir,Cincinnati,GIneBra,6969,Airbus A380,,484
Fly_CiGi_10737,FlyQ,Cincinnati,Ginebra,6969,Boeing 737,17781.4035,549
Tab_LoRo_10747,TabarAir,Los Angeles,Roma,10077,Boeing 747,,691
Tab_NuRo_10737,TabarAir,Nueva York,Roma,6877,Boeing 737,"17379,5544",542
Fly_GiNu_10747,FlyQ,Ginebra,Nueva York,6206,Boeing 747,69463.75800000002,433
Mol_CiCa_10747,MoldaviAir,Cincinnati,Cádiz,6624,Boeing 747,76966.9056,461
Fly_CiRo_10747,FlyQ,Cincinnati,Roma,7480,Boeing 747,83723.64,518
Air_LoCi_11320,Airnar,Los Angeles,Cincinnati,3073,Airbus A320,8330.2884,242
Fly_RoNu_11320,FlyQ,Roma,Nueva York,6877,Airbus A320,19028.824048,618
Pam_GiPa_10747,PamPangea,Ginebra,París,411,Boeing 747,,47
Tab_RoLo_10747,TabarAir,Roma,Londres,1433,Boeing 747,16345.0846,115
Tab_LoCi_11320,TabarAir,Los Angeles,Cincinnati,3073,Airbus A320,8176.0238,242
Tab_NuLo_10747,TabarAir,Nueva York,Los Angeles,3944,Boeing 747,42463.4704,282
Tab_NuCi_10747,TabarAir,Nueva York,Cincinnati,911,Boeing 747,,80
Tab_LoNu_11320,TabarAir,Los Angeles,Nueva York,,Airbus A320,,305
Pam_BaPa_11380,PamPangea,Bali,París,11980,Airbus A380,150952.792,818
Pam_GiMe_10747,PamPangea,Ginebra,Melbourne,16674,Boeing 747,194097.36528,1311
Fly_NuRo_10747,FlyQ,Nueva York,Roma,6877,Boeing 747,74041.9082,478
Tab_GiRo_10737,TabarAir,Ginebra,Roma,698,Boeing 737,1747.0242,73
Tab_GiLo_10737,TabarAir,Ginebra,Los Angeles,9103,Boeing 737,22120.29,
Pam_LoBa_10737,PamPangea,Londres,Bali,12553,Boeing 737,32992.899264,1153
Fly_GiNu_11320,FlyQ,Ginebra,Nueva York,,Airbus A320,17010.14952,
Fly_NuBa_10747,FlyQ,Nueva York,Bali,16589,Boeing 747,194947.026976,
Tab_NuGi_11380,TabarAir,Nueva York,GINebRa,6206,Airbus A380,76763.2552,
Air_GiLo_10737,Airnar,Ginebra,Los Angeles,9103,Boeing 737,,711
Fly_NuRo_11320,FlyQ,Nueva York,Roma,6877,Airbus A320,"18490,272424",
Tab_GiLo_10737,TabarAir,Ginebra,Londres,,Boeing 737,,76
Fly_NuGi_11380,FlyQ,Nueva York,GINEbRa,6206,Airbus A380,73176.1872,433
Tab_LoNu_10737,TabarAir,Londres,Nueva York,5566,Boeing 737,14472.1566,442
Mol_BaCa_11380,MoldaviAir,Bali,Cádiz,12798,Airbus A380,156821.5728,873
Mol_CiCa_11380,MoldaviAir,Cincinnati,Cádiz,6624,Airbus A380,79636.3776,461
Pam_BaLo_11380,PamPangea,Bali,Londres,12553,Airbus A380,,856
Fly_NuBa_10747,FlyQ,Nueva York,Barcelona,6170,Boeing 747,71033.976,431
Mol_LoMe_11380,MoldaviAir,Londres,MeLbourne,16900,Airbus A380,213337.488,1326
Pam_NuGi_11320,PamPangea,Nueva York,GiNeBra,6206,Airbus A320,17334.152368,569
Fly_RoCi_10747,FlyQ,Roma,Cincinnati,7480,Boeing 747,79736.8,
Air_PaCa_11380,Airnar,París,Cádiz,1447,Airbus A380,17229.1396,116
Tab_NuLo_11320,TabarAir,Nueva York,Londres,,Airbus A320,15982.43504,523
Fly_BaNu_10747,FlyQ,Barcelona,Nueva York,6170,Boeing 747,70376.254,431
Air_GiPa_10747,Airnar,Ginebra,París,411,Boeing 747,4468.885200000001,47
Mol_BaMe_10747,MoldaviAir,Bali,Melbourne,2779,Boeing 747,29624.14,
Mol_CaBa_11380,MoldaviAir,Cádiz,Bali,12798,Airbus A380,147944.88,873
Fly_CiBa_10747,FlyQ,Cincinnati,Barcelona,6763,Boeing 747,72814.51580000001,470
Fly_RoNu_11320,FlyQ,Roma,Nueva York,6877,Airbus A320,"19387,858464",618
Tab_LoGi_10737,TabarAir,Los Angeles,Ginebra,9103,Boeing 737,,711
Tab_GiCi_10747,TabarAir,Ginebra,Cincinnati,6969,Boeing 747,75775.33080000001,
Tab_GiNu_10747,TabarAir,Ginebra,Nueva York,6206,Boeing 747,72771.55600000001,
Air_CaPa_11380,Airnar,Cádiz,París,1447,Airbus A380,17730.9592,116
Fly_BaNu_10747,FlyQ,Bali,Nueva York,16589,Boeing 747,200464.395664,1305
Mol_LoCa_10747,MoldaviAir,Londres,Cádiz,1716,Boeing 747,19024.2624,
Mol_CiMe_10747,MoldaviAir,Cincinnati,Melbourne,15262,Boeing 747,184428.694112,
Pam_BaMe_11320,PamPangea,Bali,Melbourne,2779,Airbus A320,7254.301599999999,221
Fly_CiGi_11380,FlyQ,Cincinnati,Ginebra,6969,Airbus A380,82978.4892,484
Tab_CiNu_10737,TabarAir,Cincinnati,Nueva York,,Boeing 737,2390.8284,89
Mol_LoCi_10747,MoldaviAir,Londres,Cincinnati,6284,Boeing 747,71006.6864,438
Air_LoCi_10737,Airnar,Los Angeles,Cincinnati,3073,Boeing 737,,
Air_PaCi_11320,Airnar,París,Cincinnati,6370,Airbus A320,17792.22536,581
Mol_LoCi_11320,MoldaviAir,Londres,Cincinnati,6284,Airbus A320,17552.016352,575
Tab_GiCi_10747,TabarAir,Ginebra,Cincinnati,6969,Boeing 747,80232.70320000002,484
Mol_MeCa_11380,MoldaviAir,Melbourne,Cádiz,20029,Airbus A380,248020.549088,1535
Fly_CiNu_10747,FlyQ,Cincinnati,Nueva York,911,Boeing 747,10488.1608,80
Mol_LoBa_10747,MoldaviAir,Londres,Bali,12553,Boeing 747,,
Air_GiPa_10747,Airnar,Ginebra,París,411,Boeing 747,4425.0726,47
Tab_RoLo_10747,TabarAir,Roma,Londres,1433,Boeing 747,16803.358,115
Mol_CiMe_10737,MoldaviAir,Cincinnati,MelbOUrnE,,Boeing 737,40498.63272,1359
Fly_BaBa_10747,FlyQ,Barcelona,Bali,13058,Boeing 747,"152004,52176",1070
Fly_BaGi_10737,FlyQ,Barcelona,Ginebra,660,Boeing 737,1635.876,70
Fly_BaCi_11320,FlyQ,Barcelona,Cincinnati,6763,Airbus A320,18007.217904,610
Pam_BaGi_11380,PamPangea,Bali,GIneBrA,,Airbus A380,,845
Mol_LoCa_11320,MoldaviAir,Londres,Cádiz,1716,Airbus A320,4737.876,144
Tab_NuLo_11320,TabarAir,Nueva York,Londres,5566,Airbus A320,15255.96072,523
Fly_NuBa_10747,FlyQ,Nueva York,Barcelona,6170,Boeing 747,72349.42,431
Air_CiLo_11320,Airnar,Cincinnati,Los Angeles,3073,Airbus A320,,242
Pam_GiPa_11320,PamPangea,Ginebra,París,411,Airbus A320,"1124,4549",49
Air_PaCa_10747,Airnar,París,Cádiz,1447,Boeing 747,15733.5204,116
Tab_LoLo_10737,TabarAir,Los Angeles,Londres,8785,Boeing 737,22201.452,687
Air_CiLo_10747,Airnar,Cincinnati,Los Angeles,3073,Boeing 747,35378.8344,224
Tab_LoLo_10747,TabarAir,Londres,Los Angeles,8785,Boeing 747,93648.1,605
Fly_BaRo_11320,FlyQ,Barcelona,Roma,859,Airbus A320,2307.0163,82
Pam_LoPa_10737,PamPangea,Londres,París,344,Boeing 737,877.7160000000001,46
Pam_MePa_10747,PamPangea,Melbourne,París,,Boeing 747,195142.8128,1328
Fly_BaGi_10737,FlyQ,Bali,Ginebra,12383,Boeing 737,32546.090304,
Mol_BaCi_11380,MoldaviAir,Bali,Cincinnati,15011,Airbus A380,194905.706112,1200
Fly_BaGi_11380,FlyQ,Bali,Ginebra,12383,Airbus A380,148873.3792,845
Mol_BaLo_11380,MoldaviAir,Bali,Londres,12553,Airbus A380,,856
Air_LoGi_10737,Airnar,Los Angeles,GinEbra,,Boeing 737,22783.8987,
Pam_NuPa_11320,PamPangea,Nueva York,París,5835,Airbus A320,16145.58504,542
Tab_LoGi_11380,TabarAir,Los Angeles,Ginebra,9103,Airbus A380,111544.5208,
Tab_LoNu_11380,TabarAir,Londres,Nueva York,5566,Airbus A380,70133.8264,391
Air_CiLo_11380,Airnar,Cincinnati,Los Angeles,,Airbus A380,39076.26800000001,224
Air_GiBa_10747,Airnar,Ginebra,Bali,12383,Boeing 747,133322.8078,845
Mol_MeLo_10747,MoldaviAir,Melbourne,Londres,16900,Boeing 747,198601.7696,1326
Pam_MePa_10737,PamPangea,Melbourne,París,,Boeing 737,44483.7744,1485
Tab_RoLo_11320,TabarAir,Roma,Los Angeles,,Airbus A320,,850
Fly_RoNu_10737,FlyQ,Roma,Nueva York,6877,Boeing 737,16878.2211,542
Pam_GiBa_11380,PamPangea,Ginebra,Bali,12383,Airbus A380,154599.2784,845
Fly_RoCi_10737,FlyQ,Roma,Cincinnati,,Boeing 737,19266.984,588
Tab_RoGi_11380,TabarAir,Roma,Ginebra,698,Airbus A380,8310.9464,66
Mol_LoMe_10747,MoldaviAir,Londres,Melbourne,16900,Boeing 747,202348.9728,1326
