Id_vuelo,Aircompany,Origen,Destino,Distancia,avion,consumo_kg,duracion
Mol_PaMe_10737,MoldaviAir,París,Melbourne,16925,Boeing 737,44056.04580000001,1485
Tab_NuRo_10747,TabarAir,Nueva York,Roma,6877,Boeing 747,"76241,17280000001",478
Mol_MePa_10747,MoldaviAir,Melbourne,París,16925,Boeing 747,191390.0664,1328
Mol_MeCa_11380,MoldaviAir,Melbourne,Cádiz,20029,Airbus A380,264876.3145600001,1535
Tab_LoNu_10737,TabarAir,Londres,Nueva York,5566,Boeing 737,14877.918,
Pam_MeGi_11380,PamPangea,Melbourne,Ginebra,16674,Airbus A380,,1311
Tab_NuGi_11380,TabarAir,Nueva York,Ginebra,6206,Airbus A380,,433
Tab_LoCi_10747,TabarAir,Los Angeles,Cincinnati,3073,Boeing 747,36033.998,224
Mol_LoPa_10747,MoldaviAir,Londres,París,344,Boeing 747,3740.3808,
Tab_GiCi_11320,TabarAir,Ginebra,Cincinnati,6969,Airbus A320,19829.146584,624
Mol_CaMe_11380,MoldaviAir,Cádiz,Melbourne,,Airbus A380,264876.3145600001,1535
Pam_NuGi_11380,PamPangea,Nueva York,Ginebra,6206,Airbus A380,75328.428,433
Tab_GiLo_11380,TabarAir,Ginebra,Londres,739,Airbus A380,8799.1252,69
Fly_BaNu_11380,FlyQ,Bali,Nueva York,16589,Airbus A380,"211405,969216",1305
Tab_CiLo_11320,TabarAir,Cincinnati,Londres,6284,Airbus A320,"16731,828672",575
Mol_MeLo_11380,MoldaviAir,Melbourne,Londres,16900,Airbus A380,211305.7024,1326
Mol_BaPa_11380,MoldaviAir,Bali,París,11980,Airbus A380,"148183,016",818
Mol_PaMe_11380,MoldaviAir,París,Melbourne,16925,Airbus A380,207548.7024,
Fly_NuGi_10737,FlyQ,Nueva York,Ginebra,6206,Boeing 737,15683.8032,491
Pam_NuGi_10737,PamPangea,Nueva York,Ginebra,6206,Boeing 737,15532.9974,491
Mol_LoCa_10737,MoldaviAir,Londres,Cádiz,1716,Boeing 737,,150
Fly_BaNu_10747,FlyQ,Barcelona,Nueva York,6170,Boeing 747,66429.92199999999,431
Air_GiPa_11320,Airnar,Ginebra,París,,Airbus A320,1124.4549,49
Tab_CiGi_11380,TabarAir,Cincinnati,Ginebra,6969,Airbus A380,85395.33840000001,484
Tab_LoRo_10747,TabarAir,Los Angeles,Roma,,Boeing 747,107420.82,691
Pam_NuBa_10747,PamPangea,Nueva York,Bali,16589,Boeing 747,185751.412496,1305
Pam_MeLo_11380,PamPangea,Melbourne,Londres,16900,Airbus A380,215369.2736,1326
Air_PaCa_10747,Airnar,París,Cádiz,1447,Boeing 747,15425.02,116
Pam_PaNu_10737,PamPangea,París,Nueva York,5835,Boeing 737,15171.5835,
Pam_BaNu_11380,PamPangea,Bali,Nueva York,16589,Airbus A380,219383.55296,1305
Tab_LoNu_10737,TabarAir,Londres,Nueva York,5566,Boeing 737,13795.8876,442
Pam_GiBa_11380,PamPangea,Ginebra,Bali,12383,Airbus A380,,845
Pam_GiPa_11320,PamPangea,Ginebra,París,411,Airbus A320,1083.1905,49
Fly_BaCi_10747,FlyQ,Bali,Cincinnati,15011,Boeing 747,181395.565936,1200
Air_PaBa_10737,Airnar,París,Bali,11980,Boeing 737,30881.37312,1029
Tab_LoLo_11320,TabarAir,Los Angeles,Londres,8785,Airbus A320,,756
Fly_NuRo_10747,FlyQ,Nueva York,Roma,6877,Boeing 747,78440.43740000001,478
Air_CaCi_11380,Airnar,Cádiz,Cincinnati,6624,Airbus A380,83465.04960000001,461
Mol_PaLo_10737,MoldaviAir,París,Londres,344,Boeing 737,835.9200000000001,46
Mol_PaCi_11380,MoldaviAir,París,Cincinnati,6370,Airbus A380,75846.316,444
Mol_MeLo_11380,MoldaviAir,Melbourne,Londres,16900,Airbus A380,207242.1312,1326
Air_PaBa_11380,Airnar,París,Bali,,Airbus A380,142643.464,818
Pam_MePa_11380,PamPangea,Melbourne,París,16925,Airbus A380,207548.7024,1328
Fly_BaGi_10737,FlyQ,Barcelona,Ginebra,,Boeing 737,1716.066,70
Mol_MeCi_11380,MoldaviAir,Melbourne,Cincinnati,15262,Airbus A380,,1217
Tab_LoCi_10737,TabarAir,Los Angeles,Cincinnati,3073,Boeing 737,7840.759500000001,
Fly_NuBa_10747,FlyQ,Nueva York,Barcelona,6170,Boeing 747,66429.92199999999,431
Air_CiBa_10737,Airnar,Cincinnati,Bali,15011,Boeing 737,40211.94715200001,1340
Pam_MeGi_10737,PamPangea,Melbourne,Ginebra,16674,Boeing 737,"46352,38608000001",1466
Mol_LoBa_10747,MoldaviAir,Londres,Bali,12553,Boeing 747,"133814,98",
Mol_MeBa_10737,MoldaviAir,Melbourne,Bali,2779,Boeing 737,7225.677900000001,
Pam_LoBa_10747,PamPangea,Londres,Bali,12553,Boeing 747,144520.1784,856
Mol_PaBa_11380,MoldaviAir,París,Bali,11980,Airbus A380,142643.464,818
Tab_RoLo_10737,TabarAir,Roma,Los Angeles,10077,Boeing 737,25221.7233,785
Tab_NuGi_11320,TabarAir,Nueva York,GiNEbRa,6206,Airbus A320,17172.150944,569
Pam_LoPa_11380,PamPangea,Londres,París,344,Airbus A380,"4175,472000000001",42
Tab_LoLo_10747,TabarAir,Los Angeles,Londres,8785,Boeing 747,,605
Air_GiCi_10747,Airnar,Ginebra,Cincinnati,6969,Boeing 747,,484
Fly_BaBa_10737,FlyQ,Bali,Barcelona,13058,Boeing 737,33330.17937600001,1191
Mol_PaCa_11320,MoldaviAir,París,Cádiz,1447,Airbus A320,3922.5276,124
Tab_LoNu_11380,TabarAir,Los Angeles,Nueva York,3944,Airbus A380,"47872,272",282
Tab_CiNu_10747,TabarAir,Cincinnati,Nueva York,911,Boeing 747,10488.1608,80
Pam_MePa_10747,PamPangea,Melbourne,París,,Boeing 747,193266.4396,1328
Fly_BaGi_11380,FlyQ,Barcelona,Ginebra,660,Airbus A380,,64
Pam_PaNu_11320,PamPangea,París,Nueva York,5835,Airbus A320,15231.684,542
Mol_LoBa_10747,MoldaviAir,Londres,Bali,,Boeing 747,140505.729,856
Air_BaPa_10747,Airnar,Bali,París,11980,Boeing 747,128983.868,818
Fly_GiNu_10747,FlyQ,Ginebra,Nueva York,6206,Boeing 747,70786.87720000002,433
Air_BaPa_11380,Airnar,Bali,París,11980,Airbus A380,146798.128,
Pam_PaMe_10737,PamPangea,París,Melbourne,16925,Boeing 737,43200.5886,1485
Fly_RoBa_10747,FlyQ,Roma,Barcelona,859,Boeing 747,,77
Fly_GiCi_11320,FlyQ,Ginebra,Cincinnati,,Airbus A320,18555.715152,624
Mol_BaLo_10747,MoldaviAir,Bali,Londres,12553,Boeing 747,141843.8788,856
Fly_BaNu_11380,FlyQ,Bali,Nueva York,16589,Airbus A380,217389.157024,1305
Tab_NuRo_10747,TabarAir,Nueva York,Roma,6877,Boeing 747,77707.34920000001,
Fly_CiGi_10737,FlyQ,Cincinnati,GINebra,6969,Boeing 737,17781.4035,549
Mol_CaPa_10747,MoldaviAir,Cádiz,París,1447,Boeing 747,15887.7706,116
Mol_LoCa_10747,MoldaviAir,Londres,Cádiz,1716,Boeing 747,19755.9648,134
Mol_MeCi_10737,MoldaviAir,Melbourne,Cincinnati,15262,Boeing 737,39341.52892800001,1359
Mol_CiMe_11380,MoldaviAir,Cincinnati,Melbourne,15262,Airbus A380,199999.596992,1217
Mol_PaMe_10737,MoldaviAir,París,MeLboURnE,,Boeing 737,,1485
Mol_BaPa_11380,MoldaviAir,Bali,París,11980,Airbus A380,,818
Pam_LoNu_11320,PamPangea,Londres,Nueva York,,Airbus A320,15546.550448,
Tab_LoGi_10737,TabarAir,Londres,Ginebra,739,Boeing 737,1831.6854,
Tab_RoCi_10737,TabarAir,Roma,Cincinnati,7480,Boeing 737,18539.928,588
Fly_NuCi_10747,FlyQ,Nueva York,Cincinnati,911,Boeing 747,10682.386,80
Fly_NuBa_10747,FlyQ,Nueva York,Barcelona,6170,Boeing 747,69718.532,431
Air_PaBa_11380,Airnar,París,Bali,,Airbus A380,,818
Air_GiPa_11380,Airnar,Ginebra,París,411,Airbus A380,4893.6948,47
Mol_BaCa_11380,MoldaviAir,Bali,Cádiz,12798,Airbus A380,,873
Mol_PaCa_10737,MoldaviAir,París,Cádiz,1447,Boeing 737,3516.21,129
Tab_LoGi_11380,TabarAir,Londres,GinebrA,739,Airbus A380,8799.1252,69
Pam_LoPa_11320,PamPangea,Londres,París,344,Airbus A320,949.784,44
Mol_LoPa_11380,MoldaviAir,Londres,París,344,Airbus A380,4255.004800000001,42
Tab_CiNu_10737,TabarAir,Cincinnati,Nueva York,,Boeing 737,2412.9657,89
Pam_GiMe_10737,PamPangea,Ginebra,Melbourne,16674,Boeing 737,45509.615424,1466
Fly_BaBa_11380,FlyQ,Bali,Barcelona,13058,Airbus A380,169547.579136,1070
Tab_RoLo_10737,TabarAir,Roma,Los Angeles,10077,Boeing 737,25221.7233,785
Air_PaGi_10737,Airnar,París,GINEbRa,411,Boeing 737,"1068,6411",51
Mol_BaLo_11380,MoldaviAir,Bali,Londres,12553,Airbus A380,148014.9336,856
Air_PaBa_10747,Airnar,París,Bali,,Boeing 747,134092.14,818
Pam_BaLo_10737,PamPangea,Bali,Londres,12553,Boeing 737,32992.899264,1153
Pam_PaGi_11320,PamPangea,París,GiNebrA,411,Airbus A320,1072.8744,49
Air_CiLo_10747,Airnar,Cincinnati,Los Angeles,3073,Boeing 747,,224
Pam_MeLo_11380,PamPangea,Melbourne,Londres,16900,Airbus A380,223496.416,1326
Air_PaCi_10737,Airnar,París,Cincinnati,6370,Boeing 737,16407.846,503
Fly_CiGi_11320,FlyQ,Cincinnati,Ginebra,6969,Airbus A320,20011.06536,624
Tab_LoRo_10747,TabarAir,Los Angeles,Roma,10077,Boeing 747,111717.6528,691
Pam_BaGi_10747,PamPangea,Bali,Ginebra,12383,Boeing 747,"143883,0302",845
Pam_GiLo_11380,PamPangea,Ginebra,Londres,739,Airbus A380,,69
Fly_BaNu_11320,FlyQ,Barcelona,Nueva York,,Airbus A320,"17555,72312",567
Tab_NuGi_11380,TabarAir,Nueva York,Ginebra,6206,Airbus A380,75328.428,433
Mol_BaPa_10737,MoldaviAir,Bali,París,11980,Boeing 737,,1029
Pam_MePa_10737,PamPangea,Melbourne,París,16925,Boeing 737,43628.3172,1485
Mol_BaMe_10737,MoldaviAir,Bali,Melbourne,2779,Boeing 737,6955.5591,
Tab_NuLo_10737,TabarAir,Nueva York,Los Angeles,,Boeing 737,9583.92,319
Tab_LoCi_10747,TabarAir,Los Angeles,Cincinnati,3073,Boeing 747,,
Tab_NuLo_10747,TabarAir,Nueva York,Los Angeles,3944,Boeing 747,45826.91360000001,282
Pam_MePa_11380,PamPangea,Melbourne,París,,Airbus A380,213653.076,
Tab_LoGi_10737,TabarAir,Londres,Ginebra,739,Boeing 737,1849.6431,76
Tab_NuGi_10747,TabarAir,Nueva York,Ginebra,6206,Boeing 747,68140.63880000002,433
Air_BaCi_11380,Airnar,Bali,Cincinnati,15011,Airbus A380,,1200
Air_CaGi_10747,Airnar,Cádiz,Ginebra,1725,Boeing 747,18940.155,135
Pam_PaGi_11320,PamPangea,París,Ginebra,411,Airbus A320,"1103,8227",49
Tab_NuRo_11320,TabarAir,Nueva York,Roma,6877,Airbus A320,19208.341256,618
Pam_LoNu_10747,PamPangea,Londres,Nueva York,5566,Boeing 747,,
Air_GiCi_10747,Airnar,Ginebra,Cincinnati,6969,Boeing 747,78746.91240000002,484
Mol_PaCa_11320,MoldaviAir,París,Cádiz,1447,Airbus A320,3704.6094,124
Pam_BaMe_10747,PamPangea,Bali,Melbourne,2779,Boeing 747,"32290,3126",205
Fly_CiNu_11380,FlyQ,Cincinnati,Nueva York,911,Airbus A380,11268.3412,80
Tab_LoNu_10737,TabarAir,Londres,Nueva York,5566,Boeing 737,14742.6642,442
Pam_BaNu_10737,PamPangea,Bali,Nueva York,16589,Boeing 737,45277.61846400001,1459
Mol_PaMe_10747,MoldaviAir,París,Melbourne,,Boeing 747,,1328
Mol_BaCi_10747,MoldaviAir,Bali,Cincinnati,15011,Boeing 747,166417.9504,
Fly_CiNu_10737,FlyQ,Cincinnati,Nueva York,911,Boeing 737,2302.2792,89
Air_GiBa_11380,Airnar,Ginebra,Bali,12383,Airbus A380,150304.854,
Pam_GiNu_11320,PamPangea,Ginebra,Nueva York,6206,Airbus A320,16200.1424,569
Mol_LoMe_10737,MoldaviAir,Londres,Melbourne,16900,Boeing 737,44845.164,1483
Mol_BaCa_10737,MoldaviAir,Bali,Cádiz,12798,Boeing 737,"34930,55404800001",1171
Air_PaLo_10737,Airnar,París,Los Angeles,9099,Boeing 737,,711
Tab_GiRo_10737,TabarAir,Ginebra,Roma,698,Boeing 737,1865.754,73
Fly_BaRo_11380,FlyQ,Bali,Roma,12738,Airbus A380,157558.8696,869
Pam_GiLo_11320,PamPangea,Ginebra,Londres,739,Airbus A320,1966.1834,
Air_BaGi_11380,Airnar,Bali,Ginebra,12383,Airbus A380,151736.3288,845
Pam_PaGi_10747,PamPangea,París,GInEbRa,,Boeing 747,,
Pam_LoPa_10737,PamPangea,Londres,París,344,Boeing 737,886.0752000000001,46
Mol_MeCi_11380,MoldaviAir,Melbourne,Cincinnati,15262,Airbus A380,"198164,738304",1217
Mol_LoBa_11380,MoldaviAir,Londres,Bali,12553,Airbus A380,149466.0604,856
Fly_BaRo_10747,FlyQ,Bali,Roma,12738,Boeing 747,,
Tab_GiLo_10747,TabarAir,Ginebra,Los Angeles,9103,Boeing 747,106741.778,626
Pam_GiBa_10737,PamPangea,Ginebra,Bali,12383,Boeing 737,32233.147128,1140
Mol_MeBa_10737,MoldaviAir,Melbourne,Bali,2779,Boeing 737,6955.5591,231
Pam_BaLo_11380,PamPangea,Bali,Londres,12553,Airbus A380,145112.68,856
Pam_GiNu_11380,PamPangea,Ginebra,Nueva York,6206,Airbus A380,76763.2552,433
Fly_RoNu_11380,FlyQ,Roma,Nueva York,6877,Airbus A380,85062.98840000002,478
Pam_NuBa_10747,PamPangea,Nueva York,Bali,,Boeing 747,187590.535392,1305
Mol_CaLo_10737,MoldaviAir,Cádiz,Londres,1716,Boeing 737,4461.7716,150
Pam_PaGi_10737,PamPangea,París,Ginebra,411,Boeing 737,1008.7173,51
Tab_LoGi_11320,TabarAir,Los Angeles,GINEBra,9103,Airbus A320,25425.844184,779
Pam_BaMe_10747,PamPangea,Bali,Melbourne,2779,Boeing 747,31697.8298,205
Fly_BaRo_10747,FlyQ,Bali,Roma,12738,Boeing 747,141218.5632,1049
Pam_MeBa_11320,PamPangea,Melbourne,Bali,2779,Airbus A320,7603.066099999999,221
Tab_GiRo_10737,TabarAir,Ginebra,Roma,698,Boeing 737,,73
Fly_RoBa_10747,FlyQ,Roma,Bali,12738,Boeing 747,"155340,41952",1049
Mol_CiPa_10737,MoldaviAir,Cincinnati,París,6370,Boeing 737,16872.219,503
Fly_NuBa_11380,FlyQ,Nueva York,Bali,16589,Airbus A380,,1305
Mol_PaBa_10737,MoldaviAir,París,Bali,11980,Boeing 737,32395.16592000001,1029
Mol_BaPa_10747,MoldaviAir,Bali,París,,Boeing 747,140477.48,
Mol_PaCi_10737,MoldaviAir,París,Cincinnati,6370,Boeing 737,15479.1,503
Fly_BaRo_11380,FlyQ,Bali,Roma,12738,Airbus A380,161976.408,869
Fly_GiCi_11380,FlyQ,Ginebra,Cincinnati,6969,Airbus A380,86200.9548,484
Mol_MeBa_11380,MoldaviAir,Melbourne,Bali,,Airbus A380,34374.0068,205
Mol_PaBa_11380,MoldaviAir,París,Bali,11980,Airbus A380,138488.8,818
Pam_MeLo_10747,PamPangea,Melbourne,Londres,16900,Boeing 747,"204222,5744",1326
Pam_NuMe_10747,PamPangea,Nueva York,Melbourne,16082,Boeing 747,,1272
Air_LoCi_11380,Airnar,Los Angeles,Cincinnati,3073,Airbus A380,35879.1188,
Mol_CiCa_10747,MoldaviAir,Cincinnati,Cádiz,6624,Boeing 747,76260.7872,461
Mol_MeCa_10747,MoldaviAir,Melbourne,Cádiz,,Boeing 747,,
Mol_BaMe_10737,MoldaviAir,Bali,MELboURnE,2779,Boeing 737,,231
Tab_RoNu_11380,TabarAir,Roma,Nueva York,6877,Airbus A380,86652.95080000002,478
Air_GiPa_11320,Airnar,Ginebra,París,411,Airbus A320,1134.771,49
Fly_NuRo_10737,FlyQ,Nueva York,Roma,6877,Boeing 737,18215.1099,542
Fly_NuRo_10737,FlyQ,Nueva York,Roma,6877,Boeing 737,"17713,7766",542
Pam_BaPa_11380,PamPangea,Bali,París,11980,Airbus A380,150952.792,818
Air_CiGi_11380,Airnar,Cincinnati,Ginebra,6969,Airbus A380,81367.2564,484
Tab_GiLo_10747,TabarAir,Ginebra,Londres,739,Boeing 747,"8665,514000000001",69
Fly_NuCi_10737,FlyQ,Nueva York,Cincinnati,911,Boeing 737,2390.8284,89
Fly_RoNu_10747,FlyQ,Roma,Nueva York,6877,Boeing 747,77707.34920000001,478
Tab_GiRo_10747,TabarAir,Ginebra,Roma,,Boeing 747,7440.68,66
Tab_LoLo_11380,TabarAir,Los Angeles,Londres,8785,Airbus A380,101554.6,605
Mol_CiMe_10737,MoldaviAir,Cincinnati,MELBoURNe,15262,Boeing 737,39341.52892800001,1359
Mol_BaCi_10747,MoldaviAir,Bali,Cincinnati,15011,Boeing 747,179731.386432,1200
Tab_LoGi_10747,TabarAir,Londres,Ginebra,739,Boeing 747,7956.5174,69
Pam_GiPa_11320,PamPangea,Ginebra,París,,Airbus A320,1083.1905,49
Pam_NuGi_11380,PamPangea,Nueva York,Ginebra,6206,Airbus A380,,433
Mol_CiPa_11380,MoldaviAir,Cincinnati,París,6370,Airbus A380,78055.432,444
Fly_NuRo_10737,FlyQ,Nueva York,Roma,6877,Boeing 737,17212.4433,
Fly_GiNu_10747,FlyQ,Ginebra,Nueva York,6206,Boeing 747,66155.96,433
Pam_LoNu_11380,PamPangea,Londres,Nueva York,,Airbus A380,68203.53760000001,391
Mol_LoMe_10747,MoldaviAir,Londres,Melbourne,16900,Boeing 747,"198601,7696",1326
Air_CiGi_10747,Airnar,Cincinnati,Ginebra,,Boeing 747,,484
Air_BaLo_11380,Airnar,Bali,Los Angeles,12845,Airbus A380,149973.082,876
Pam_BaLo_10737,PamPangea,Bali,Londres,12553,Boeing 737,34579.09634400001,1153
Mol_CaMe_10747,MoldaviAir,Cádiz,Melbourne,20029,Boeing 747,226490.495712,
Air_LoCi_10747,Airnar,Los Angeles,Cincinnati,3073,Boeing 747,32758.18,224
Pam_GiLo_10737,PamPangea,Ginebra,Londres,739,Boeing 737,1903.5162,
Fly_RoBa_11380,FlyQ,Roma,Bali,12738,Airbus A380,148723.7928,869
Air_LoCi_10747,Airnar,Los Angeles,Cincinnati,3073,Boeing 747,35051.2526,224
Fly_CiRo_10747,FlyQ,Cincinnati,Roma,7480,Boeing 747,79736.8,518
Mol_CaMe_10747,MoldaviAir,Cádiz,MElboUrNe,20029,Boeing 747,230931.485824,1535
Tab_LoCi_11320,TabarAir,Los Angeles,Cincinnati,3073,Airbus A320,,242
Fly_NuBa_10737,FlyQ,Nueva York,Bali,16589,Boeing 737,45277.61846400001,1459
Mol_CaPa_10747,MoldaviAir,Cádiz,París,1447,Boeing 747,15733.5204,116
Mol_CaCi_10737,MoldaviAir,Cádiz,Cincinnati,6624,Boeing 737,16096.32,523
Tab_GiNu_11320,TabarAir,Ginebra,Nueva York,6206,Airbus A320,"16686,146672",569
Mol_BaLo_10737,MoldaviAir,Bali,Londres,12553,Boeing 737,33627.37809600001,1153
Tab_GiLo_10747,TabarAir,Ginebra,Londres,739,Boeing 747,"8665,514000000001",69
Pam_NuBa_10737,PamPangea,Nueva York,Bali,16589,Boeing 737,"42762,19521600001",1459
Tab_GiLo_11320,TabarAir,Ginebra,Los Angeles,9103,Airbus A320,23762.4712,779
Pam_GiMe_10737,PamPangea,Ginebra,Melbourne,16674,Boeing 737,44666.84476800001,1466
Fly_GiNu_11320,FlyQ,Ginebra,Nueva York,6206,Airbus A320,16848.148096,569
Tab_NuRo_11380,TabarAir,Nueva York,Roma,6877,Airbus A380,81088.08240000001,478
Mol_LoCi_11320,MoldaviAir,Londres,Cincinnati,6284,Airbus A320,18044.12896,575
Pam_MeNu_10747,PamPangea,Melbourne,Nueva York,16082,Boeing 747,192554.803584,1272
Tab_RoLo_10747,TabarAir,Roma,Londres,1433,Boeing 747,16650.6002,115
Tab_GiRo_11320,TabarAir,Ginebra,Roma,698,Airbus A320,1839.579,70
Tab_RoCi_11320,TabarAir,Roma,Cincinnati,7480,Airbus A320,"19916,30784",662
Tab_NuRo_11320,TabarAir,Nueva York,Roma,6877,Airbus A320,17951.7208,618
Tab_GiCi_10737,TabarAir,Ginebra,Cincinnati,6969,Boeing 737,18289.4436,549
Fly_CiRo_11380,FlyQ,Cincinnati,Roma,7480,Airbus A380,89062.864,518
Air_GiCi_10747,Airnar,Ginebra,Cincinnati,6969,Boeing 747,74289.54000000001,484
Air_CiGi_10747,Airnar,Cincinnati,Ginebra,6969,Boeing 747,78746.91240000002,484
Pam_NuGi_10737,PamPangea,Nueva York,Ginebra,6206,Boeing 737,15985.4148,491
Mol_LoCi_11380,MoldaviAir,Londres,Cincinnati,6284,Airbus A380,79907.34400000001,438
Tab_NuLo_11380,TabarAir,Nueva York,Londres,5566,Airbus A380,68203.53760000001,391
Mol_BaCi_11380,MoldaviAir,Bali,Cincinnati,15011,Airbus A380,"196710,388576",
Tab_GiLo_10747,TabarAir,Ginebra,Londres,,Boeing 747,"7877,74",69
Fly_GiBa_10737,FlyQ,Ginebra,Barcelona,660,Boeing 737,1651.914,70
Tab_RoNu_10747,TabarAir,Roma,Nueva York,6877,Boeing 747,76241.17280000001,478
Tab_NuLo_11320,TabarAir,Nueva York,Londres,5566,Airbus A320,,523
Tab_LoRo_11380,TabarAir,Los Angeles,Roma,10077,Airbus A380,123479.5272,691
Air_GiLo_10747,Airnar,Ginebra,Los Angeles,9103,Boeing 747,104801.0184,
Pam_NuPa_10737,PamPangea,Nueva York,París,5835,Boeing 737,14179.05,
Mol_LoBa_10737,MoldaviAir,Londres,Bali,12553,Boeing 737,31723.9416,1153
Air_CaBa_10737,Airnar,Cádiz,Bali,12798,Boeing 737,33960.26088000001,1171
Pam_MeLo_10747,PamPangea,Melbourne,Londres,16900,Boeing 747,"204222,5744",1326
Fly_NuGi_11380,FlyQ,Nueva York,Ginebra,6206,Airbus A380,76045.8416,433
Tab_LoRo_11320,TabarAir,Londres,Roma,1433,Airbus A320,"3812,639799999999",
